Algoritmos,Seguridad,Tiempo de cifrado,Consumo de recursos
Sha256,1,0.0079,1
Sha512,2,0.002,2.3
Sha3_512,4,0.0059,2.5
MD5,3,0.0029,1.56
test, 1, 3, 1.1
test13, 1, 3, 1.1
